"","_id","CIVIC_CENTRE","DEATH_LICENSES","PLACE_OF_DEATH","TIME_PERIOD"
"359",24026,"SC",372,"Toronto","2015-10"
"360",24027,"ET",116,"Outside City Limits","2015-11"
"361",24028,"ET",460,"Toronto","2015-11"
"362",24029,"NY",70,"Outside City Limits","2015-11"
"363",24030,"NY",372,"Toronto","2015-11"
"364",24031,"SC",86,"Outside City Limits","2015-11"
"365",24032,"SC",413,"Toronto","2015-11"
"366",24033,"ET",68,"Outside City Limits","2015-12"
"367",24034,"ET",333,"Toronto","2015-12"
"368",24035,"NY",70,"Outside City Limits","2015-12"
"369",24036,"NY",259,"Toronto","2015-12"
"370",24037,"SC",98,"Outside City Limits","2015-12"
"371",24038,"SC",459,"Toronto","2015-12"
"372",24039,"ET",183,"Outside City Limits","2016-01"
"373",24040,"ET",422,"Toronto","2016-01"
"374",24041,"NY",90,"Outside City Limits","2016-01"
"375",24042,"NY",396,"Toronto","2016-01"
"376",24043,"SC",87,"Outside City Limits","2016-01"
"377",24044,"SC",564,"Toronto","2016-01"
"378",24045,"ET",95,"Outside City Limits","2016-02"
"379",24046,"ET",387,"Toronto","2016-02"
"380",24047,"NY",83,"Outside City Limits","2016-02"
"381",24048,"NY",285,"Toronto","2016-02"
"382",24049,"SC",99,"Outside City Limits","2016-02"
"383",24050,"SC",471,"Toronto","2016-02"
"384",24051,"ET",155,"Outside City Limits","2016-03"
"385",24052,"ET",440,"Toronto","2016-03"
"386",24053,"NY",95,"Outside City Limits","2016-03"
"387",24054,"NY",311,"Toronto","2016-03"
"388",24055,"SC",93,"Outside City Limits","2016-03"
"389",24056,"SC",533,"Toronto","2016-03"
"390",24057,"ET",104,"Outside City Limits","2016-04"
"391",24058,"ET",414,"Toronto","2016-04"
"392",24059,"NY",51,"Outside City Limits","2016-04"
"393",24060,"NY",255,"Toronto","2016-04"
"394",24061,"SC",107,"Outside City Limits","2016-04"
"395",24062,"SC",539,"Toronto","2016-04"
"396",24063,"ET",137,"Outside City Limits","2016-05"
"397",24064,"ET",355,"Toronto","2016-05"
"398",24065,"NY",106,"Outside City Limits","2016-05"
"399",24066,"NY",329,"Toronto","2016-05"
"400",24067,"SC",91,"Outside City Limits","2016-05"
"401",24068,"SC",518,"Toronto","2016-05"
"402",24069,"ET",134,"Outside City Limits","2016-06"
"403",24070,"ET",387,"Toronto","2016-06"
"404",24071,"NY",53,"Outside City Limits","2016-06"
"405",24072,"NY",304,"Toronto","2016-06"
"406",24073,"SC",48,"Outside City Limits","2016-06"
"407",24074,"SC",421,"Toronto","2016-06"
"408",24075,"ET",126,"Outside City Limits","2016-07"
"409",24076,"ET",407,"Toronto","2016-07"
"410",24077,"NY",10,"Outside City Limits","2016-07"
"411",24078,"NY",250,"Toronto","2016-07"
"412",24079,"SC",60,"Outside City Limits","2016-07"
"413",24080,"SC",186,"Toronto","2016-07"
"414",24081,"ET",155,"Outside City Limits","2016-08"
"415",24082,"ET",312,"Toronto","2016-08"
"416",24083,"NY",77,"Outside City Limits","2016-08"
"417",24084,"NY",240,"Toronto","2016-08"
"418",24085,"SC",85,"Outside City Limits","2016-08"
"419",24086,"SC",696,"Toronto","2016-08"
"420",24087,"ET",198,"Outside City Limits","2016-09"
"421",24088,"ET",432,"Toronto","2016-09"
"422",24089,"NY",78,"Outside City Limits","2016-09"
"423",24090,"NY",321,"Toronto","2016-09"
"424",24091,"SC",112,"Outside City Limits","2016-09"
"425",24092,"SC",553,"Toronto","2016-09"
"426",24093,"ET",108,"Outside City Limits","2016-10"
"427",24094,"ET",427,"Toronto","2016-10"
"428",24095,"NY",78,"Outside City Limits","2016-10"
"429",24096,"NY",356,"Toronto","2016-10"
"430",24097,"SC",93,"Outside City Limits","2016-10"
"431",24098,"SC",478,"Toronto","2016-10"
"432",24099,"ET",124,"Outside City Limits","2016-11"
"433",24100,"ET",293,"Toronto","2016-11"
"434",24101,"NY",90,"Outside City Limits","2016-11"
"435",24102,"NY",308,"Toronto","2016-11"
"436",24103,"SC",124,"Outside City Limits","2016-11"
"437",24104,"SC",518,"Toronto","2016-11"
"438",24105,"ET",98,"Outside City Limits","2016-12"
"439",24106,"ET",338,"Toronto","2016-12"
"440",24107,"NY",59,"Outside City Limits","2016-12"
"441",24108,"NY",298,"Toronto","2016-12"
"442",24109,"SC",69,"Outside City Limits","2016-12"
"443",24110,"SC",401,"Toronto","2016-12"
"444",24111,"ET",208,"Outside City Limits","2017-01"
"445",24112,"ET",610,"Toronto","2017-01"
"446",24113,"NY",121,"Outside City Limits","2017-01"
"447",24114,"NY",381,"Toronto","2017-01"
"448",24115,"SC",134,"Outside City Limits","2017-01"
"449",24116,"SC",747,"Toronto","2017-01"
"450",24117,"ET",105,"Outside City Limits","2017-02"
"451",24118,"ET",340,"Toronto","2017-02"
"452",24119,"NY",92,"Outside City Limits","2017-02"
"453",24120,"NY",352,"Toronto","2017-02"
"454",24121,"SC",142,"Outside City Limits","2017-02"
"455",24122,"SC",524,"Toronto","2017-02"
"456",24123,"ET",133,"Outside City Limits","2017-03"
"457",24124,"ET",442,"Toronto","2017-03"
"458",24125,"NY",74,"Outside City Limits","2017-03"
"459",24126,"NY",430,"Toronto","2017-03"
"460",24127,"SC",95,"Outside City Limits","2017-03"
"461",24128,"SC",518,"Toronto","2017-03"
"462",24129,"ET",122,"Outside City Limits","2017-04"
"463",24130,"ET",370,"Toronto","2017-04"
"464",24131,"NY",25,"Outside City Limits","2017-04"
"465",24132,"NY",160,"Toronto","2017-04"
"466",24133,"SC",77,"Outside City Limits","2017-04"
"467",24134,"SC",358,"Toronto","2017-04"
"468",24135,"ET",135,"Outside City Limits","2017-05"
"469",24136,"ET",447,"Toronto","2017-05"
"470",24137,"NY",116,"Outside City Limits","2017-05"
"471",24138,"NY",426,"Toronto","2017-05"
"472",24139,"SC",89,"Outside City Limits","2017-05"
"473",24140,"SC",481,"Toronto","2017-05"
"474",24141,"ET",110,"Outside City Limits","2017-06"
"475",24142,"ET",384,"Toronto","2017-06"
"476",24143,"NY",115,"Outside City Limits","2017-06"
"477",24144,"NY",265,"Toronto","2017-06"
"478",24145,"SC",106,"Outside City Limits","2017-06"
